Product_Name,Customer_Name,Region,OrderPriority,OrderPriorityPrice,Discount,UnitPrice,OrderQuantity,ShippingCost,ProductBaseMargin,Profit
"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Joy Corbett,AsiaPac,3,10,0.1,6,32,5,0.68,106.36
Safco Industrial Wire Shelving,Anita Hahn,North America,0,0,0.08,96,2,35,0.5,45.64
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Ernest Oh,North America,4,15,0.06,41,3,3,0.36,33.9
Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Scott Bunn,North America,1,5,0,292,4,49,0.56,605.08
Hon Valutask™ Swivel Chairs,Scott Bunn,North America,1,5,0.07,101,43,45,0.69,2647.66
"Dual Level, Single-Width Filing Carts",Scott Bunn,North America,1,5,0.05,155,32,7,0.59,2671.4
"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Marjorie Bailey,AsiaPac,4,15,0.09,9,16,2,0.4,42.64
White GlueTop Scratch Pads,Marjorie Bailey,AsiaPac,4,15,0.08,15,43,2,0.39,197.95
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Jane Shah,North America,4,15,0.06,41,1,3,0.36,9.3
"Dual Level, Single-Width Filing Carts",Ellen McCormick,North America,1,5,0.05,155,8,7,0.59,662.6
"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Alex Nicholson,North America,4,15,0.09,9,4,2,0.4,9.16
White GlueTop Scratch Pads,Alex Nicholson,North America,4,15,0.08,15,11,2,0.39,49.15
"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Linda Weiss,North America,3,10,0.03,4,29,1,0.44,46.56
Polycom ViaVideo™ Desktop Video Communications Unit,Mary Washington Hudson,AsiaPac,1,5,0.05,575,49,24,0.06,116.88
Avery Heavy-Duty EZD ™ Binder With Locking Rings,Annie Rouse,AsiaPac,3,10,0.03,6,29,3,0.37,56.16
Bush Advantage Collection® Round Conference Table,Annie Rouse,AsiaPac,3,10,0.09,213,4,52,0.64,416.6
"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Ron Newton,North America,3,10,0.03,4,7,1,0.44,10.48
"Fellowes Mobile Numeric Keypad, Graphite",Janice Cole,North America,1,5,0.08,43,3,17,0.66,57.82
Polycom ViaVideo™ Desktop Video Communications Unit,Janice Cole,North America,1,5,0.05,575,12,24,0.06,10.5
"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Janice Cole,North America,1,5,0.04,10,3,2,0.36,7.6
36X48 HARDFLOOR CHAIRMAT,Anna Burgess,North America,3,10,0.05,21,3,21,0.78,24.99
Panasonic KX-P2130 Dot Matrix Printer,Danny Hong,North America,0,0,0,213,1,15,0.59,110.67
Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Roger Schwartz,North America,4,15,0.03,5,4,6,0.4,1.4
T18,Roger Schwartz,North America,4,15,0.01,111,2,3,0.57,121.32
Bush Advantage Collection® Round Conference Table,Marshall Sutherland,North America,3,10,0.09,213,1,52,0.64,65.15
Cardinal Poly Pocket Divider Pockets for Ring Binders,Judith Townsend,AsiaPac,4,15,0.03,3,17,6,0.4,12.87
"""While you Were Out"" Message Book, One Form per Page",Judith Townsend,AsiaPac,4,15,0.07,4,42,2,0.35,45.04
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Nathan McClure,Latam,3,10,0.06,351,3,30,0.61,549.15
Cardinal Poly Pocket Divider Pockets for Ring Binders,Maureen Stout,North America,4,15,0.03,3,4,6,0.4,-1.56
"""While you Were Out"" Message Book, One Form per Page",Maureen Stout,North America,4,15,0.07,4,11,2,0.35,10.32
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Carol Sherrill,North America,3,10,0.06,351,1,30,0.61,163.05
"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Colleen Rose,AsiaPac,0,0,0.05,8,24,6,0.36,53.52
"Memorex 4.7GB DVD+RW, 3/Pack",Marshall Xu,EMEA,3,10,0.03,28,6,2,0.4,60.16
3285,Marshall Xu,EMEA,3,10,0.01,206,11,6,0.59,1308.28
"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Patsy Merritt,EMEA,2,7,0.09,6,43,5,0.68,147.22
"Metal Folding Chairs, Beige, 4/Carton",Rosemary Hedrick,AsiaPac,4,15,0.08,2,43,1,0.58,42
Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Rosemary Hedrick,AsiaPac,4,15,0.06,21,29,53,0.64,300.22
"Iceberg OfficeWorks 42"" Round Tables",Rosemary Hedrick,AsiaPac,4,15,0.08,5,49,6,0.7,145.9
232,Rosemary Hedrick,AsiaPac,4,15,0.04,126,25,5,0.55,1601.5
"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Ted Dunlap,North America,0,0,0.05,8,6,6,0.36,8.88
"Memorex 4.7GB DVD+RW, 3/Pack",Bobby Powell,North America,3,10,0.03,28,2,2,0.4,18.72
3285,Bobby Powell,North America,3,10,0.01,206,3,6,0.59,352.44
