OrderPriority,OrderPriorityPrice,OrderDate,OrderNumber,Discount,UnitPrice,OrderQuantity,ShippingCost,ProductBaseMargin,ProductDepartment,Container,ProductCategory,ProductName,CustomerSegment,CustomerID,CustomerName,Region,State,CountryRegion,City,PostalCode,ShipDate,ShipMode
High,10,01-01-10,28774,0.1,6,32,5,0.68,Office Supplies,Small Box,Storage and Organization,Perma STOR-ALL  Hanging File Box; 13 1/8inchW x 12 1/4inchD x 10 1/2inchH,Small Business,1656,Joy Corbett,Asia Pacific,Central,Fiji,Suva,0,02-01-10,Regular Air
Not Specified,0,01-01-10,88028,0.08,96,2,35,0.5,Office Supplies,Large Box,Storage and Organization,Safco Industrial Wire Shelving,Home Office,2211,Anita Hahn,North America,Maryland,United States of America,Bowie,20715,03-01-10,Express Air
Critical,15,02-01-10,9285,0.06,41,3,3,0.36,Office Supplies,Small Box,Binders and Binder Accessories,Avery Trapezoid Ring Binder; 3inch Capacity; Black; 1040 sheets,Consumer,949,Ernest Oh,North America,California,United States of America,Los Angeles,90049,04-01-10,Regular Air
Low,5,02-01-10,37537,0,292,4,49,0.56,Furniture,Jumbo Drum,Chairs and Chairmats,Hon 4070 Series Pagoda  Armless Upholstered Stacking Chairs,Corporate,68,Scott Bunn,North America,New York,United States of America,New York City,10177,02-01-10,Delivery Truck
Low,5,02-01-10,37537,0.07,101,43,45,0.69,Furniture,Jumbo Drum,Chairs and Chairmats,Hon Valutask  Swivel Chairs,Corporate,68,Scott Bunn,North America,New York,United States of America,New York City,10177,04-01-10,Delivery Truck
Low,5,02-01-10,37537,0.05,155,32,7,0.59,Office Supplies,Small Box,Storage and Organization,Dual Level; Single-Width Filing Carts,Corporate,68,Scott Bunn,North America,New York,United States of America,New York City,10177,09-01-10,Regular Air
Critical,15,02-01-10,44069,0.09,9,16,2,0.4,Office Supplies,Wrap Bag,Paper,Black Print Carbonless Snap-Off® Rapid Letter; 8 1/2inch x 7inch,Consumer,1154,Marjorie Bailey,Asia Pacific,Osaka,Japan,Osaka,5890013,04-01-10,Express Air
Critical,15,02-01-10,44069,0.08,15,43,2,0.39,Office Supplies,Wrap Bag,Paper,White GlueTop Scratch Pads,Consumer,1154,Marjorie Bailey,Asia Pacific,Osaka,Japan,Osaka,5890013,02-01-10,Regular Air
Critical,15,02-01-10,89083,0.06,41,1,3,0.36,Office Supplies,Small Box,Binders and Binder Accessories,Avery Trapezoid Ring Binder; 3inch Capacity; Black; 1040 sheets,Consumer,950,Jane Shah,North America,Minnesota,United States of America,Prior Lake,55372,04-01-10,Regular Air
Low,5,02-01-10,87946,0.05,155,8,7,0.59,Office Supplies,Small Box,Storage and Organization,Dual Level; Single-Width Filing Carts,Corporate,67,Ellen McCormick,North America,California,United States of America,Napa,94559,09-01-10,Regular Air
Critical,15,02-01-10,90853,0.09,9,4,2,0.4,Office Supplies,Wrap Bag,Paper,Black Print Carbonless Snap-Off® Rapid Letter; 8 1/2inch x 7inch,Consumer,1155,Alex Nicholson,North America,California,United States of America,Montebello,90640,04-01-10,Express Air
Critical,15,02-01-10,90853,0.08,15,11,2,0.39,Office Supplies,Wrap Bag,Paper,White GlueTop Scratch Pads,Consumer,1155,Alex Nicholson,North America,California,United States of America,Montebello,90640,02-01-10,Regular Air
High,10,03-01-10,7909,0.03,4,29,1,0.44,Office Supplies,Wrap Bag,Pens and Art Supplies,Dixon Prang® Watercolor Pencils; 10-Color Set with Brush,Home Office,117,Linda Weiss,North America,Washington,United States of America,Seattle,98103,04-01-10,Regular Air
Low,5,03-01-10,9637,0.05,575,49,24,0.06,Technology,Large Box,Office Machines,Polycom ViaVideo  Desktop Video Communications Unit,Corporate,168,Mary Washington Hudson,Asia Pacific,Beijing,China,Beijing,65001,10-01-10,Regular Air
High,10,03-01-10,40354,0.03,6,29,3,0.37,Office Supplies,Small Box,Binders and Binder Accessories,Avery Heavy-Duty EZD   Binder With Locking Rings,Home Office,2576,Annie Rouse,Asia Pacific,Osaka,Japan,Osaka,5890013,04-01-10,Regular Air
High,10,03-01-10,40354,0.09,213,4,52,0.64,Furniture,Jumbo Box,Tables,Bush Advantage Collection® Round Conference Table,Home Office,2576,Annie Rouse,Asia Pacific,Osaka,Japan,Osaka,5890013,04-01-10,Delivery Truck
High,10,03-01-10,89583,0.03,4,7,1,0.44,Office Supplies,Wrap Bag,Pens and Art Supplies,Dixon Prang® Watercolor Pencils; 10-Color Set with Brush,Home Office,114,Ron Newton,North America,Oregon,United States of America,Lake Oswego,97035,04-01-10,Regular Air
Low,5,03-01-10,87463,0.08,43,3,17,0.66,Technology,Small Box,Computer Peripherals,Fellowes Mobile Numeric Keypad; Graphite,Corporate,169,Janice Cole,North America,Louisiana,United States of America,Baton Rouge,70802,05-01-10,Regular Air
Low,5,03-01-10,87463,0.05,575,12,24,0.06,Technology,Large Box,Office Machines,Polycom ViaVideo  Desktop Video Communications Unit,Corporate,169,Janice Cole,North America,Louisiana,United States of America,Baton Rouge,70802,10-01-10,Regular Air
Low,5,03-01-10,87463,0.04,10,3,2,0.36,Office Supplies,Wrap Bag,Paper,Staples Wirebound Steno Books; 6inch x 9inch; 12/Pack,Corporate,169,Janice Cole,North America,Louisiana,United States of America,Baton Rouge,70802,07-01-10,Regular Air
High,10,03-01-10,89999,0.05,21,3,21,0.78,Furniture,Medium Box,Office Furnishings,36X48 HARDFLOOR CHAIRMAT,Home Office,1988,Anna Burgess,North America,Utah,United States of America,Draper,84020,04-01-10,Regular Air
Not Specified,0,03-01-10,90430,0,213,1,15,0.59,Technology,Jumbo Drum,Office Machines,Panasonic KX-P2130 Dot Matrix Printer,Corporate,193,Danny Hong,North America,Utah,United States of America,Layton,84041,05-01-10,Delivery Truck
Critical,15,03-01-10,90337,0.03,5,4,6,0.4,Office Supplies,Small Box,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Corporate,388,Roger Schwartz,North America,Nebraska,United States of America,Kearney,68847,05-01-10,Regular Air
Critical,15,03-01-10,90337,0.01,111,2,3,0.57,Technology,Small Box,Telephones and Communication,T18,Corporate,388,Roger Schwartz,North America,Nebraska,United States of America,Kearney,68847,06-01-10,Regular Air
High,10,03-01-10,88296,0.09,213,1,52,0.64,Furniture,Jumbo Box,Tables,Bush Advantage Collection® Round Conference Table,Home Office,2579,Marshall Sutherland,North America,Alabama,United States of America,Phenix City,36869,04-01-10,Delivery Truck
Critical,15,04-01-10,8710,0.03,3,17,6,0.4,Office Supplies,Small Box,Binders and Binder Accessories,Cardinal Poly Pocket Divider Pockets for Ring Binders,Corporate,3144,Judith Townsend,Asia Pacific,State of Andhra Pradesh,India,Hyderabad,500001,05-01-10,Regular Air
Critical,15,04-01-10,8710,0.07,4,42,2,0.35,Office Supplies,Wrap Bag,Paper,While you Were Out Message Book; One Form per Page,Corporate,3144,Judith Townsend,Asia Pacific,State of Andhra Pradesh,India,Hyderabad,500001,06-01-10,Express Air
High,10,04-01-10,49730,0.06,351,3,30,0.61,Furniture,Jumbo Drum,Chairs and Chairmats,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Home Office,912,Nathan McClure,Latin America,Distrito Federal,Mexico,Mexico City,1000,05-01-10,Delivery Truck
Critical,15,04-01-10,85850,0.03,3,4,6,0.4,Office Supplies,Small Box,Binders and Binder Accessories,Cardinal Poly Pocket Divider Pockets for Ring Binders,Corporate,3146,Maureen Stout,North America,Texas,United States of America,Pharr,78577,05-01-10,Regular Air
Critical,15,04-01-10,85850,0.07,4,11,2,0.35,Office Supplies,Wrap Bag,Paper,While you Were Out Message Book; One Form per Page,Corporate,3146,Maureen Stout,North America,Texas,United States of America,Pharr,78577,06-01-10,Express Air
High,10,04-01-10,86356,0.06,351,1,30,0.61,Furniture,Jumbo Drum,Chairs and Chairmats,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Home Office,915,Carol Sherrill,North America,Texas,United States of America,Bryan,77803,05-01-10,Delivery Truck
Not Specified,0,05-01-10,290,0.05,8,24,6,0.36,Office Supplies,Wrap Bag,Paper,Rediform Wirebound inchPhone Memoinch Message Book; 11 x 5-3/4,Home Office,1084,Colleen Rose,Asia Pacific,Soul,Republic of Korea,Seoul,1020,06-01-10,Regular Air
High,10,05-01-10,1028,0.03,28,6,2,0.4,Technology,Small Pack,Computer Peripherals,Memorex 4.7GB DVD+RW; 3/Pack,Consumer,2205,Marshall Xu,Europe; the Middle East and Africa,England,United Kingdom,London,181315,06-01-10,Regular Air
High,10,05-01-10,1028,0.01,206,11,6,0.59,Technology,Small Box,Telephones and Communication,3285,Consumer,2205,Marshall Xu,Europe; the Middle East and Africa,England,United Kingdom,London,181315,07-01-10,Regular Air
Medium,7,05-01-10,25601,0.09,6,43,5,0.68,Office Supplies,Small Box,Storage and Organization,Perma STOR-ALL  Hanging File Box; 13 1/8inchW x 12 1/4inchD x 10 1/2inchH,Corporate,3329,Patsy Merritt,Europe; the Middle East and Africa,Makkah,Saudi Arabia,Jeddah,22230,06-01-10,Regular Air
Critical,15,05-01-10,57253,0.08,2,43,1,0.58,Furniture,Jumbo Drum,Chairs and Chairmats,Metal Folding Chairs; Beige; 4/Carton,Consumer,882,Rosemary Hedrick,Asia Pacific,Soul,Republic of Korea,Seoul,1020,06-01-10,Regular Air
Critical,15,05-01-10,57253,0.06,21,29,53,0.64,Furniture,Jumbo Drum,Chairs and Chairmats,Hon 4700 Series Mobuis  Mid-Back Task Chairs with Adjustable Arms,Consumer,882,Rosemary Hedrick,Asia Pacific,Soul,Republic of Korea,Seoul,1020,07-01-10,Delivery Truck
